Date,Close,High,Low,Open,Volume,SMA,SMA_prev,Signal,Strategy_Shares,Strategy_Cash,Strategy_Portfolio_Value,Buy_and_Hold_Portfolio_Value,Cumulative_Buy_and_Hold_Returns,Cumulative_Strategy_Returns,Strategy_Returns
2025-04-21,510.94873046875,518.7241309058172,505.55963388256157,518.1871723342323,69368100,567.0237936401368,567.172834777832,0,0.0,1595630.4959374452,1595630.4959374452,1364251.8421688487,0.9095012281125658,1.0637536639582967,0.0
2025-04-22,524.2424926757812,526.2807870532888,516.2284704641588,517.1730636694438,75948100,566.9291555786133,567.0237936401368,0,0.0,1595630.4959374452,1595630.4959374452,1399746.6746223099,0.9331644497482066,1.0637536639582967,0.0
2025-04-23,532.3658447265625,542.3187554782935,530.8346510289886,537.3472764364299,90590700,566.8594732666015,566.9291555786133,0,0.0,1595630.4959374452,1595630.4959374452,1421436.322406927,0.9476242149379512,1.0637536639582967,0.0
2025-04-24,543.5715942382812,544.3073634486632,532.3957187263146,533.6584331737259,64150400,566.8426681518555,566.8594732666015,0,0.0,1595630.4959374452,1595630.4959374452,1451356.0844155732,0.9675707229437155,1.0637536639582967,0.0
2025-04-25,547.4990844726562,547.9067190711562,540.5887161390857,543.5318537188763,61119600,566.8428405761719,566.8426681518555,0,0.0,1595630.4959374452,1595630.4959374452,1461842.6273265043,0.9745617515510029,1.0637536639582967,0.0
2025-04-28,547.7078247070312,550.3924355414467,541.9111238077456,548.2447832861145,47613800,566.8169708251953,566.8428405761719,0,0.0,1595630.4959374452,1595630.4959374452,1462399.971404881,0.9749333142699207,1.0637536639582967,0.0
2025-04-29,551.1580810546875,552.2816402164788,545.4209745990806,545.7789065390313,47775100,566.8321881103516,566.8169708251953,0,0.0,1595630.4959374452,1595630.4959374452,1471612.2823424705,0.9810748548949804,1.0637536639582967,0.0
2025-04-30,551.3768310546875,553.3455782199762,538.4311395978207,544.4466177046888,93101500,566.8312127685547,566.8321881103516,0,0.0,1595630.4959374452,1595630.4959374452,1472196.3528620326,0.9814642352413551,1.0637536639582967,0.0
2025-05-01,555.2843627929688,560.8524558505887,554.6778569018302,557.1735491438936,63186100,566.8421908569336,566.8312127685547,0,0.0,1595630.4959374452,1595630.4959374452,1482629.6058566978,0.9884197372377985,1.0637536639582967,0.0
2025-05-02,563.527099609375,565.1378539569648,559.1720791327064,561.5086499974077,60717300,566.8779830932617,566.8421908569336,0,0.0,1595630.4959374452,1595630.4959374452,1504638.015342281,1.0030920102281873,1.0637536639582967,0.0
2025-05-05,560.2955932617188,563.4176964006293,558.4959204283713,559.3609528534779,38659200,566.9366226196289,566.8779830932617,0,0.0,1595630.4959374452,1595630.4959374452,1496009.7749242533,0.9973398499495022,1.0637536639582967,0.0
2025-05-06,555.6124877929688,560.1365216016732,553.7830174830004,554.747455291201,48264700,566.9929251098633,566.9366226196289,0,0.0,1595630.4959374452,1595630.4959374452,1483505.7116360408,0.9890038077573605,1.0637536639582967,0.0
2025-05-07,557.9490966796875,560.6038493983164,552.8681991631311,556.9548009077818,55588000,567.078984375,566.9929251098633,0,0.0,1595630.4959374452,1595630.4959374452,1489744.5430256592,0.9931630286837728,1.0637536639582967,0.0
2025-05-08,561.8367919921875,567.0568450320475,558.4959726115572,562.0157579568283,65130800,567.1566073608399,567.078984375,0,0.0,1595630.4959374452,1595630.4959374452,1500124.8320362682,1.0000832213575122,1.0637536639582967,0.0
2025-05-09,561.1209106445312,564.2628586264095,559.5499063100929,563.2486575047216,37603400,567.2349353027344,567.1566073608399,0,0.0,1595630.4959374452,1595630.4959374452,1498213.4025932036,0.9988089350621357,1.0637536639582967,0.0
2025-05-12,579.66455078125,579.6745034500635,573.7484781026347,578.1532016097033,78993600,567.4677883911132,567.2349353027344,1,2752.6791034347616,0.0,1595630.4959374452,1547725.6015839437,1.031817067722629,1.0637536639582967,0.0
2025-05-13,583.4926147460938,585.7198277838014,579.5154312681863,580.0821265092247,67947200,567.7336703491211,567.4677883911132,1,2752.6791034347616,0.0,1606167.9276200822,1557946.6727101742,1.0386311151401162,1.070778618413388,0.006603929737784453
2025-05-14,584.2383422851562,585.6203674349406,582.1999871834588,584.4570582487896,66283500,567.973583984375,567.7336703491211,1,2752.6791034347616,0.0,1608220.6762337154,1559937.7925784802,1.0399585283856534,1.0721471174891435,0.0012780410929229546
2025-05-15,587.0919189453125,587.5989588253952,581.7624473439984,582.2198452585625,71268100,568.2261895751953,567.973583984375,1,2752.6791034347616,0.0,1616075.6570761765,1567556.9468756574,1.0450379645837715,1.0773837713841177,0.004884268035190598
2025-05-16,590.810546875,591.108823462645,585.9186287766337,587.8773622746659,76052100,568.5109805297851,568.2261895751953,1,2752.6791034347616,0.0,1626311.8464716761,1577485.819776002,1.0516572131840014,1.084207897647784,0.00633397907497657
2025-05-19,591.4568481445312,592.1429146923263,584.7453513153635,584.7453513153635,68168500,568.755615234375,568.5109805297851,1,2752.6791034347616,0.0,1628090.9064708382,1579211.4678596077,1.0528076452397384,1.0853939376472255,0.001093923040050182
2025-05-20,589.46826171875,590.661428858583,586.2368002538279,589.7069436963179,60614500,569.0287210083007,568.755615234375,1,2752.6791034347616,0.0,1622616.9661712162,1573901.8691994932,1.049267912799662,1.081744644114144,-0.0033621834492569835
2025-05-21,579.5352783203125,589.1998657689248,578.5012324590923,585.0834662873492,95197700,569.3019515991211,569.0287210083007,1,2752.6791034347616,0.0,1595274.650335573,1547380.4393740017,1.0315869595826679,1.0635164335570486,-0.016850751844510348
2025-05-22,579.7639770507812,583.2738097421649,578.0935066667054,579.3363764431303,70860400,569.6527592468261,569.3019515991211,1,2752.6791034347616,0.0,1595904.1845519163,1547991.073368644,1.0319940489124293,1.063936123034611,0.00039462434647918876
2025-05-23,575.806640625,578.4912514897796,572.3166525694867,572.6944898379297,76029000,569.9602891540527,569.6527592468261,1,2752.6791034347616,0.0,1585010.907267407,1537424.8400324716,1.024949893354981,1.0566739381782713,-0.006825771490515775
2025-05-27,587.7780151367188,587.9370757702034,575.1305403861026,582.7269752337963,72588500,570.3448634338379,569.9602891540527,1,2752.6791034347616,0.0,1617964.2597252068,1569388.8488595851,1.0462592325730566,1.0786428398168044,0.020790615576653737
2025-05-28,584.3775024414062,589.3887925532393,583.6417331947018,588.1856726822466,68445500,570.6533860778809,570.3448634338379,1,2752.6791034347616,0.0,1608603.7394878555,1560309.355297398,1.040206236864932,1.0724024929919036,-0.005785368979003946
2025-05-29,586.6842651367188,589.8163213976459,582.7269869994868,589.6771054111595,69973300,570.9619181823731,570.6533860778809,1,2752.6791034347616,0.0,1614953.516955825,1566468.496261775,1.0443123308411832,1.07663567797055,0.003947384500045503
2025-05-30,586.028076171875,587.7581413312192,579.9131321005323,585.5706782096897,90601200,571.2657905578614,570.9619181823731,1,2752.6791034347616,0.0,1613147.2393043952,1564716.4476691936,1.043144298446129,1.0754314928695967,-0.0011184703661530904
